term,estimate,std.error,statistic,p.value,conf.low,conf.high,spec,time_bin
time_bin_lump::0:high_crime_shoot,-0.8277777777744662,0.14254823634509742,-5.807001187797828,5.240152561937706e-8,-1.1099896104995408,-0.5455659450493915,Raw,0
time_bin_lump::1:high_crime_shoot,-0.9727598566274966,0.14236564011469166,-6.832827470475519,3.587554479630094e-10,-1.254610191952444,-0.6909095213025493,Raw,1
time_bin_lump::2:high_crime_shoot,-0.7575268817171243,0.15498504169322067,-4.8877418971605175,3.165122885706401e-6,-1.0643606509917465,-0.45069311244250226,Raw,2
time_bin_lump::3:high_crime_shoot,-0.6551971326131898,0.17253838391626156,-3.797399267001238,2.30072372259799e-4,-0.9967823727318437,-0.3136118924945359,Raw,3
time_bin_lump::4:high_crime_shoot,-1.0322580645127981,0.1354207818621934,-7.6225971399518455,6.204074355790103e-12,-1.300359221133713,-0.7641569078918833,Raw,4
time_bin_lump::5:high_crime_shoot,-1.1331541218604557,0.13431285635190737,-8.436676522547678,8.204055008011858e-14,-1.399061847704551,-0.8672463960163603,Raw,5
time_bin_lump::6:high_crime_shoot,-0.8172043010719587,0.12478890028506026,-6.548693827777842,1.4795878909874718e-9,-1.064256843819217,-0.5701517583247004,Raw,6
time_bin_lump::7:high_crime_shoot,-0.7899641577027858,0.18225628429588828,-4.334358953682496,3.0403761273554832e-5,-1.1507885448406618,-0.42913977056490976,Raw,7
time_bin_lump::8:high_crime_shoot,-1.0318996415737318,0.15637669415100666,-6.598807112377424,1.1545618789907254e-9,-1.3414885539542802,-0.7223107291931834,Raw,8
time_bin_lump::9:high_crime_shoot,-1.211514336914451,0.15149312394632355,-7.9971572659872665,8.60769231313285e-13,-1.511434933972117,-0.9115937398567852,Raw,9
time_bin_lump::-19:high_crime_shoot,0.0015550625565108334,0.1726216008342989,0.009008505013248907,0.9928271859693014,-0.3401949274009008,0.34330505251392246,Group-Detrended,-19
time_bin_lump::-18:high_crime_shoot,0.19968155791260767,0.14362024304596507,1.3903441024584564,0.16697653455071673,-0.08465259483200777,0.4840157106572231,Group-Detrended,-18
time_bin_lump::-17:high_crime_shoot,0.381636819272984,0.1408120881078532,2.7102560895246026,0.007700235302469854,0.10286214991434295,0.660411488631625,Group-Detrended,-17
time_bin_lump::-16:high_crime_shoot,0.009111793895074882,0.15754606940241225,0.05783574245702742,0.953974870102052,-0.30279220523297684,0.3210157930231266,Group-Detrended,-16
time_bin_lump::-15:high_crime_shoot,-0.2559654050627733,0.1756440847010751,-1.457295903237478,0.14762509305721608,-0.6036991990523856,0.09176838892683892,Group-Detrended,-15
time_bin_lump::-14:high_crime_shoot,0.023523097461777276,0.13721157378161378,0.17143668579457216,0.8641667847598427,-0.24812340410739353,0.2951695990309481,Group-Detrended,-14
time_bin_lump::-13:high_crime_shoot,0.11856079609814962,0.12630934812881456,0.9386541681557671,0.349778253093908,-0.13150187419295284,0.3686234663892521,Group-Detrended,-13
time_bin_lump::-12:high_crime_shoot,-0.4378351970216787,0.15673054437428485,-2.793553731148243,0.006062660586738178,-0.7481246492516277,-0.12754574479172975,Group-Detrended,-12
time_bin_lump::-11:high_crime_shoot,-0.4488906883494588,0.1747363881892328,-2.568959407947287,0.011415354498580875,-0.7948274576775731,-0.10295391902134449,Group-Detrended,-11
time_bin_lump::-10:high_crime_shoot,0.4631932007613946,0.1258396855853779,3.680819755760864,3.485349825069347e-4,0.21406035135439413,0.712326050168395,Group-Detrended,-10
time_bin_lump::-9:high_crime_shoot,1.8541090355983592,0.2819815156651962,6.575285728302099,1.2972480493932602e-9,1.2958522491880635,2.412365822008655,Group-Detrended,-9
