time_index,rel_time,att,Y_actual,Y_counter,ci_lower,ci_upper,date
40,-65,-4.158219515814462,5.626550378373791,9.784769894188253,-33.54076283200214,25.224323800373213,2017-04-01
41,-64,-5.007556007369562,5.91460021409914,10.922156221468702,-31.793248679362314,21.77813666462319,2017-05-01
42,-63,0.5913106765257652,10.29185032313003,9.700539646604264,-32.58862982467339,33.77125117772492,2017-06-01
43,-62,-3.2094917388808817,8.75099330831302,11.960485047193902,-30.468369989801825,24.049386512040062,2017-07-01
44,-61,1.1088244083583412,10.174046854311888,9.065222445953546,-28.262919869102657,30.48056868581934,2017-08-01
45,-60,-1.8080748862806315,7.6392581950201235,9.447333081300755,-33.257157185832384,29.64100741327112,2017-09-01
46,-59,0.5897338885687198,9.63081520955934,9.041081320990621,-25.85928959822028,27.03875737535772,2017-10-01
47,-58,-3.4189694128670283,4.2537574266469065,7.672726839513935,-27.299892793657484,20.461953967923428,2017-11-01
48,-57,-1.4071737114801124,5.962091037817875,7.3692647492979875,-22.819461482376738,20.005114059416513,2017-12-01
49,-56,-2.2938533442826916,5.400467779992049,7.69432112427474,-25.230126401537735,20.64241971297235,2018-01-01
50,-55,0.6512149703197387,3.411643180030515,2.7604282097107764,-24.286067244736643,25.58849718537612,2018-02-01
51,-54,-0.11341795610779215,4.834325416691007,4.947743372798799,-26.31915230171801,26.092316389502425,2018-03-01
52,-53,-1.9802448241456645,4.124388719370192,6.104633543515856,-31.466025820302306,27.505536172010977,2018-04-01
53,-52,-2.9586565660018147,5.974692199624424,8.933348765626238,-32.00684301857669,26.08952988657306,2018-05-01
54,-51,-1.1973167596424652,7.683598883886118,8.880915643528583,-28.32910610980394,25.93447259051901,2018-06-01
55,-50,0.43846149529742817,9.96262237569405,9.524160880396622,-27.176789041111896,28.053712031706752,2018-07-01
56,-49,-2.9458018740422,9.110881203718236,12.056683077760436,-34.129810324984135,28.23820657689973,2018-08-01
57,-48,0.5278263634619087,6.977201164575563,6.449374801113654,-27.53459242060876,28.590245147532578,2018-09-01
58,-47,-0.5730115460672316,7.121310938392946,7.694322484460177,-29.19020716732918,28.044184075194718,2018-10-01
59,-46,1.6654322138554036,5.271041963904759,3.6056097500493554,-21.238644721938,24.56950914964881,2018-11-01
60,-45,-2.0402306399337213,6.554769313087487,8.594999953021208,-29.976692591888938,25.896231312021495,2018-12-01
61,-44,-0.796334625419107,3.990823007474716,4.787157632893823,-16.99873100780588,15.406061756967667,2019-01-01
62,-43,4.0317202577109,4.705322075731447,0.673601818020547,-13.944062630303984,22.007503145725785,2019-02-01
63,-42,0.6664242385972337,7.417366789619823,6.7509425510225896,-25.829288524194702,27.16213700138917,2019-03-01
64,-41,1.3885675738818186,7.99108138238573,6.602513808503911,-26.757906295632353,29.53504144339599,2019-04-01
65,-40,-6.2026826465057665,6.566690391611481,12.769373038117248,-50.45112238660207,38.045757093590545,2019-05-01
66,-39,-1.1615778297549966,11.282023452327739,12.443601282082735,-27.341363971588407,25.018208312078414,2019-06-01
67,-38,4.1824235633463225,17.42974586144733,13.247322298101007,-27.305726825988376,35.670573952681025,2019-07-01
68,-37,-0.4387914855356918,15.14985493299286,15.588646418528551,-42.950366870477,42.07278389940562,2019-08-01
69,-36,0.7809691321239747,9.436652123657794,8.65568299153382,-24.33779687547836,25.89973513972631,2019-09-01
70,-35,-0.36804213614631465,9.154307656016877,9.522349792163192,-34.57339076439838,33.83730649210575,2019-10-01
71,-34,-4.501071094381363,7.154629062890264,11.655700157271626,-38.6393463310053,29.637204142242577,2019-11-01
72,-33,-1.703564677199008,6.584860118245956,8.288424795444964,-29.292817863880543,25.885688509482527,2019-12-01
73,-32,0.4649627744722409,8.878756286732274,8.413793512260034,-21.675946876660483,22.605872425604964,2020-01-01
74,-31,1.4164350745183079,5.137193998045013,3.720758923526705,-23.03620129440949,25.869071443446106,2020-02-01
75,-30,-1.7921570884817406,5.972294242613552,7.764451331095293,-24.05686409476393,20.47254991780045,2020-03-01
76,-29,-2.1347197177217323,7.084932756903204,9.219652474624937,-30.165168921416807,25.89572948597334,2020-04-01
77,-28,-5.532847506269896,12.425891793075014,17.95873929934491,-39.73182242575163,28.66612741321184,2020-05-01
78,-27,4.07627395058034,30.534379788585774,26.458105838005434,-47.012517036554314,55.165064937715,2020-06-01
79,-26,6.2024567906876165,36.87863703288228,30.676180242194665,-35.2721071547562,47.677020736131425,2020-07-01
80,-25,14.63235179397152,39.68555717043375,25.053205376462234,-15.98711283226729,45.25181642021033,2020-08-01
81,-24,-1.1808697352560138,22.55949282917973,23.740362564435745,-38.60193413347652,36.2401946629645,2020-09-01
82,-23,-0.8902367556099975,22.204430408366076,23.094667163976073,-37.84116673006615,36.060693218846154,2020-10-01
83,-22,-4.786842842143404,18.117631140473762,22.904473982617166,-41.411514076606366,31.837828392319555,2020-11-01
84,-21,-0.9336979738442182,14.610044474491517,15.543742448335735,-30.837357131693004,28.969961184004568,2020-12-01
85,-20,-8.606238290003033,9.340609087840301,17.946847377843334,-39.231582230598846,22.019105650592785,2021-01-01
86,-19,-3.249244854545097,7.436590158154926,10.685835012700023,-29.034107793526836,22.535618084436642,2021-02-01
87,-18,0.4311662196892776,12.702363375956821,12.271197156267544,-20.305483730939233,21.16781617031779,2021-03-01
88,-17,-2.4698393835118644,18.13374676430282,20.603586147814685,-29.89887249199832,24.95919372497459,2021-04-01
89,-16,1.2089605040487612,24.703508742509293,23.49454823846053,-31.637568095925836,34.05548910402336,2021-05-01
90,-15,3.6497955336933465,24.90674753706705,21.256952003373705,-45.44183845901465,52.74142952640135,2021-06-01
91,-14,-1.359347820836522,24.832032112374712,26.191379933211234,-32.65796975474207,29.939274113069025,2021-07-01
92,-13,4.580926458212073,24.89679369859354,20.31586724038147,-33.090180681190276,42.252033597614414,2021-08-01
93,-12,-0.10699597050948739,19.21224647489167,19.31924244540116,-27.299031021015054,27.08503907999608,2021-09-01
94,-11,-4.942463430702723,16.731760008914232,21.674223439616956,-38.008892892838645,28.1239660314332,2021-10-01
95,-10,-1.1352753831395859,15.788933907452176,16.92420929059176,-35.314470195059904,33.04391942878073,2021-11-01
96,-9,1.0680432820382144,16.395921938450275,15.32787865641206,-32.79733837763301,34.93342494170945,2021-12-01
97,-8,-4.109359452822176,11.762566223484034,15.87192567630621,-29.695089149531363,21.47637024388701,2022-01-01
98,-7,-1.9019548833104736,10.450442307909572,12.352397191220046,-26.917955168692316,23.11404540207137,2022-02-01
99,-6,-1.843592972262993,13.932287207767931,15.775880180030924,-29.623976076031173,25.936790131505187,2022-03-01
100,-5,-5.462632501799391,15.286331215062319,20.74896371686171,-41.05494789278517,30.12968288918639,2022-04-01
101,-4,-4.55103635102472,17.190030900128715,21.741067251153435,-32.35531887064538,23.253246168595933,2022-05-01
102,-3,-0.9732917295012804,18.244955942841756,19.218247672343036,-34.6978860551871,32.751302596184544,2022-06-01
103,-2,3.746390409111015,26.232426703037362,22.486036293926347,-29.073924588268966,36.566705406490996,2022-07-01
104,-1,-5.380873023598728,15.906873325383739,21.287746348982466,-32.91713426483407,22.155388217636613,2022-08-01
105,0,3.36600160137046,19.71234903999367,16.34634743862321,-21.143729929322394,27.875733132063313,2022-09-01
106,1,-5.0000950335719505,12.089419113715069,17.08951414728702,-39.373579308218716,29.37338924107481,2022-10-01
107,2,-0.5189751413598245,9.994729947759279,10.513705089119103,-36.46416880587107,35.42621852315142,2022-11-01
108,3,3.7732318608569173,12.14419250046081,8.370960639603892,-26.778576988284367,34.325040709998206,2022-12-01
109,4,-1.5023583245064849,10.743384404073646,12.245742728580131,-47.10199185702689,44.09727520801391,2023-01-01
110,5,2.343137641554044,9.791438950548134,7.44830130899409,-30.69462296406116,35.38089824716925,2023-02-01
111,6,3.5073918346855777,12.64727531112467,9.139883476439092,-35.988354887991676,43.00313855736283,2023-03-01
112,7,-0.9232260948730371,10.063423365841139,10.986649460714176,-45.32944789515489,43.48299570540882,2023-04-01
113,8,-3.3639531202725905,10.607392196427146,13.971345316699736,-48.261535807198136,41.533629566652955,2023-05-01
114,9,-0.6330780443230921,14.415174010529196,15.048252054852288,-51.58194034145325,50.31578425280706,2023-06-01
115,10,-1.1344484697456068,17.54299478639874,18.677443256144347,-67.70009003665426,65.43119309716305,2023-07-01
116,11,-1.2567683234592266,10.19941557348764,11.456183896946866,-43.99126827331973,41.47773162640128,2023-08-01
117,12,0.14502239295908836,10.19941557348764,10.054393180528551,-29.918887225826317,30.208932011744494,2023-09-01
118,13,-3.6072930695777643,8.83949349702262,12.446786566600384,-44.08610588681856,36.87151974766303,2023-10-01
119,14,0.5090570308896645,7.479571420557601,6.970514389667937,-37.39121234983123,38.40932641161056,2023-11-01
120,15,2.859123553217067,10.335407781134142,7.476284227917075,-36.73216529002589,42.450412396460024,2023-12-01
121,16,2.6710197638848676,8.975485704669122,6.3044659407842545,-32.45992338775194,37.801962915521685,2024-01-01
122,17,0.6664433453078544,7.751555835850605,7.085112490542751,-31.019970709832744,32.35285740044846,2024-02-01
123,18,0.6669726987374673,8.431516874083115,7.764544175345648,-36.37209152637168,37.70603692384662,2024-03-01
