city,att_avg,pre_rmspe,post_mspe,mspe_ratio
Lincoln,-1.434369076520407,6.372040398127618,37.5598627947134,0.925053724538355
Los Angeles,10.062897262822352,4.003769275297083,147.16990335317178,9.180808310353193
Lubbock,-0.3399713513467317,14.77891361539261,183.54228157193393,0.8403323925412133
Madison,2.240054823922866,8.232333645344095,167.32952058853962,2.4690315517340022
Memphis,46.63135922058803,22.410195655912624,3477.8275051162914,6.924951584586327
Mesa,1.923332349294019,5.416703441882567,35.92172154846412,1.2242976723301515
Miami,-4.450685819663526,16.4579830561064,122.74127268102866,0.4531452170212481
Milwaukee,36.45131958215654,52.246249630278065,3729.284863262209,1.3662032564206303
Minneapolis,6.26446835142645,24.896353040375008,1527.0798317597357,2.4637139001542097
Nashville-Davidson,-0.5999653327467656,11.216275279979145,90.82103060552647,0.721920054824533
New York,-0.30192040509852425,4.729606791676755,23.73025277939608,1.0608458759305024
Norfolk,-25.3292528130681,28.57562758747682,1018.0775379836397,1.2467784900987466
North Las Vegas,2.0001806869292276,11.068924798887544,144.9084011112691,1.1827220421752573
Omaha,-8.24753347516686,15.674318881445036,199.93781578380643,0.813799816459335
Orlando,-17.495864655819815,47.88824627024339,529.4821715849505,0.23088380740293535
Philadelphia,-5.017178331139283,40.93658801898155,657.6632645790636,0.3924463546615859
Phoenix,6.491630269001559,7.458980979894704,102.44335803775886,1.8413010742214246
Pittsburgh,-10.58698066073998,22.6653277741041,677.337102474062,1.3185021965333876
Plano,0.9840424396455314,10.755013581621112,45.26562757668922,0.3913331327826149
Raleigh,7.181145474849065,7.7012411030708625,137.31139191054658,2.315181958189284
Reno,0.5538484382100132,13.293473951505906,128.2366238235883,0.7256631968430065
Riverside,-1.7142301379648957,10.087145216900112,77.63232641324014,0.7629675280310529
Rochester,13.806000629255976,57.48171012877081,2343.8215615385707,0.7093575322209442
Sacramento,1.16021294737925,10.013667063963252,67.95919201187915,0.6777381161442639
San Antonio,5.2137634571038864,8.133731405531265,71.43950388113403,1.0798384218208277
San Bernardino,-22.21972753007359,28.082940399951845,578.6335312359851,0.7336998671556741
San Diego,-0.6986446517524821,8.24614218243602,33.35394989227622,0.49050747989418086
Santa Ana,-4.377606959920857,14.545356470829164,88.49619772134811,0.41828845025221345
Scottsdale,1.0811912774861718,9.557332838449792,59.406131006403925,0.6503660270475239
St. Louis,-74.25816179584831,71.96195315027492,7123.935651835081,1.3756694839207768
St. Paul,4.466400752691923,17.056553632144002,161.4754018679099,0.5550393906512561
St. Petersburg,-1.9094547824807233,9.815294838280206,100.44248165907845,1.0425832297409743
Tucson,7.664380267042311,7.000454908096863,186.5287348741188,3.806214151011346
Tulsa,-11.62470576924334,16.59137063390401,349.135234398276,1.2683209010387373
Urban Honolulu CDP,2.2777347933977206,4.903151292136899,33.738626867362676,1.4033849507054972
Virginia Beach,-2.3908393313612173,11.889905779991865,75.02173480315899,0.5306770134119964
Wichita,1.6461617661670833,13.547603897335694,224.1968916392358,1.2215313190593409
Winston-Salem,2.2810680559801293,17.395192322152326,806.2483350606553,2.664467095967297
