vsl_mult,fatality_rate,shooting_mult,causal_share,vsl,crash_fatality_cost,crash_injury_cost,crash_property_cost,total_crash_cost,adj_shooting_reduction,shooting_benefit,robbery_cost,total_cost,total_benefit,net,bc_ratio
1,0.005,0.7,0.75,12500000,42226631.091883324,70940740.23436397,13512521.949402662,126679893.27564996,2118.4020909876413,1986001960.3009136,0,126679893.27564996,1986001960.3009136,1859322067.0252635,15.677325808756875
1,0.005,0.7,1,12500000,42226631.091883324,70940740.23436397,13512521.949402662,126679893.27564996,2118.4020909876413,2648002613.7345514,0,126679893.27564996,2648002613.7345514,2521322720.4589014,20.903101078342498
1,0.005,1,0,12500000,42226631.091883324,70940740.23436397,13512521.949402662,126679893.27564996,3026.2887014109165,0,0,126679893.27564996,0,-126679893.27564996,0
1,0.005,1,0.25,12500000,42226631.091883324,70940740.23436397,13512521.949402662,126679893.27564996,3026.2887014109165,945715219.1909114,0,126679893.27564996,945715219.1909114,819035325.9152615,7.465393242265179
1,0.005,1,0.5,12500000,42226631.091883324,70940740.23436397,13512521.949402662,126679893.27564996,3026.2887014109165,1891430438.3818228,0,126679893.27564996,1891430438.3818228,1764750545.1061728,14.930786484530358
1,0.005,1,0.75,12500000,42226631.091883324,70940740.23436397,13512521.949402662,126679893.27564996,3026.2887014109165,2837145657.5727344,0,126679893.27564996,2837145657.5727344,2710465764.2970843,22.39617972679554
1,0.005,1,1,12500000,42226631.091883324,70940740.23436397,13512521.949402662,126679893.27564996,3026.2887014109165,3782860876.7636456,0,126679893.27564996,3782860876.7636456,3656180983.4879956,29.861572969060717
1,0.005,1.3,0,12500000,42226631.091883324,70940740.23436397,13512521.949402662,126679893.27564996,3934.1753118341917,0,0,126679893.27564996,0,-126679893.27564996,0
1,0.005,1.3,0.25,12500000,42226631.091883324,70940740.23436397,13512521.949402662,126679893.27564996,3934.1753118341917,1229429784.948185,0,126679893.27564996,1229429784.948185,1102749891.672535,9.705011214944735
1,0.005,1.3,0.5,12500000,42226631.091883324,70940740.23436397,13512521.949402662,126679893.27564996,3934.1753118341917,2458859569.89637,0,126679893.27564996,2458859569.89637,2332179676.62072,19.41002242988947
1,0.005,1.3,0.75,12500000,42226631.091883324,70940740.23436397,13512521.949402662,126679893.27564996,3934.1753118341917,3688289354.844555,0,126679893.27564996,3688289354.844555,3561609461.568905,29.115033644834202
1,0.005,1.3,1,12500000,42226631.091883324,70940740.23436397,13512521.949402662,126679893.27564996,3934.1753118341917,4917719139.79274,0,126679893.27564996,4917719139.79274,4791039246.51709,38.82004485977894
1,0.01,0.7,0,12500000,84453262.18376665,70940740.23436397,13512521.949402662,168906524.3675333,2118.4020909876413,0,0,168906524.3675333,0,-168906524.3675333,0
1,0.01,0.7,0.25,12500000,84453262.18376665,70940740.23436397,13512521.949402662,168906524.3675333,2118.4020909876413,662000653.4336379,0,168906524.3675333,662000653.4336379,493094129.06610453,3.919331452189218
1,0.01,0.7,0.5,12500000,84453262.18376665,70940740.23436397,13512521.949402662,168906524.3675333,2118.4020909876413,1324001306.8672757,0,168906524.3675333,1324001306.8672757,1155094782.4997425,7.838662904378436
1,0.01,0.7,0.75,12500000,84453262.18376665,70940740.23436397,13512521.949402662,168906524.3675333,2118.4020909876413,1986001960.3009136,0,168906524.3675333,1986001960.3009136,1817095435.9333804,11.757994356567655
1,0.01,0.7,1,12500000,84453262.18376665,70940740.23436397,13512521.949402662,168906524.3675333,2118.4020909876413,2648002613.7345514,0,168906524.3675333,2648002613.7345514,2479096089.367018,15.677325808756873
1,0.01,1,0,12500000,84453262.18376665,70940740.23436397,13512521.949402662,168906524.3675333,3026.2887014109165,0,0,168906524.3675333,0,-168906524.3675333,0
1,0.01,1,0.25,12500000,84453262.18376665,70940740.23436397,13512521.949402662,168906524.3675333,3026.2887014109165,945715219.1909114,0,168906524.3675333,945715219.1909114,776808694.8233781,5.599044931698884
1,0.01,1,0.5,12500000,84453262.18376665,70940740.23436397,13512521.949402662,168906524.3675333,3026.2887014109165,1891430438.3818228,0,168906524.3675333,1891430438.3818228,1722523914.0142896,11.198089863397769
1,0.01,1,0.75,12500000,84453262.18376665,70940740.23436397,13512521.949402662,168906524.3675333,3026.2887014109165,2837145657.5727344,0,168906524.3675333,2837145657.5727344,2668239133.205201,16.797134795096653
1,0.01,1,1,12500000,84453262.18376665,70940740.23436397,13512521.949402662,168906524.3675333,3026.2887014109165,3782860876.7636456,0,168906524.3675333,3782860876.7636456,3613954352.3961124,22.396179726795538
1,0.01,1.3,0,12500000,84453262.18376665,70940740.23436397,13512521.949402662,168906524.3675333,3934.1753118341917,0,0,168906524.3675333,0,-168906524.3675333,0
1,0.01,1.3,0.25,12500000,84453262.18376665,70940740.23436397,13512521.949402662,168906524.3675333,3934.1753118341917,1229429784.948185,0,168906524.3675333,1229429784.948185,1060523260.5806516,7.278758411208551
1,0.01,1.3,0.5,12500000,84453262.18376665,70940740.23436397,13512521.949402662,168906524.3675333,3934.1753118341917,2458859569.89637,0,168906524.3675333,2458859569.89637,2289953045.5288367,14.557516822417101
