vsl_mult,injury_mult,robbery_mult,shooting_mult,crime_reduction,crash_cost,benefit,net,ratio
1.3,0.5,1.3,0.7,its_estimate,188916279.57920793,1942559210.5263157,1753642930.9471078,10.282645915180902
1.3,0.5,1.3,0.7,generous,188916279.57920793,3885118421.0526314,3696202141.4734235,20.565291830361804
1.3,0.5,1.3,1,none,188916279.57920793,0,-188916279.57920793,0
1.3,0.5,1.3,1,its_estimate,188916279.57920793,1942559210.5263157,1753642930.9471078,10.282645915180902
1.3,0.5,1.3,1,generous,188916279.57920793,3885118421.0526314,3696202141.4734235,20.565291830361804
1.3,0.5,1.3,1.3,none,188916279.57920793,0,-188916279.57920793,0
1.3,0.5,1.3,1.3,its_estimate,188916279.57920793,1942559210.5263157,1753642930.9471078,10.282645915180902
1.3,0.5,1.3,1.3,generous,188916279.57920793,3885118421.0526314,3696202141.4734235,20.565291830361804
1.3,1,0.7,0.7,none,222183499.75247526,0,-222183499.75247526,0
1.3,1,0.7,0.7,its_estimate,222183499.75247526,1045993421.0526314,823809921.3001561,4.707790732515808
1.3,1,0.7,0.7,generous,222183499.75247526,2091986842.1052628,1869803342.3527875,9.415581465031616
1.3,1,0.7,1,none,222183499.75247526,0,-222183499.75247526,0
1.3,1,0.7,1,its_estimate,222183499.75247526,1045993421.0526314,823809921.3001561,4.707790732515808
1.3,1,0.7,1,generous,222183499.75247526,2091986842.1052628,1869803342.3527875,9.415581465031616
1.3,1,0.7,1.3,none,222183499.75247526,0,-222183499.75247526,0
1.3,1,0.7,1.3,its_estimate,222183499.75247526,1045993421.0526314,823809921.3001561,4.707790732515808
1.3,1,0.7,1.3,generous,222183499.75247526,2091986842.1052628,1869803342.3527875,9.415581465031616
1.3,1,1,0.7,none,222183499.75247526,0,-222183499.75247526,0
1.3,1,1,0.7,its_estimate,222183499.75247526,1494276315.7894735,1272092816.0369983,6.725415332165441
1.3,1,1,0.7,generous,222183499.75247526,2988552631.578947,2766369131.826472,13.450830664330882
1.3,1,1,1,none,222183499.75247526,0,-222183499.75247526,0
1.3,1,1,1,its_estimate,222183499.75247526,1494276315.7894735,1272092816.0369983,6.725415332165441
1.3,1,1,1,generous,222183499.75247526,2988552631.578947,2766369131.826472,13.450830664330882
1.3,1,1,1.3,none,222183499.75247526,0,-222183499.75247526,0
1.3,1,1,1.3,its_estimate,222183499.75247526,1494276315.7894735,1272092816.0369983,6.725415332165441
1.3,1,1,1.3,generous,222183499.75247526,2988552631.578947,2766369131.826472,13.450830664330882
1.3,1,1.3,0.7,none,222183499.75247526,0,-222183499.75247526,0
1.3,1,1.3,0.7,its_estimate,222183499.75247526,1942559210.5263157,1720375710.7738404,8.743039931815073
1.3,1,1.3,0.7,generous,222183499.75247526,3885118421.0526314,3662934921.300156,17.486079863630145
1.3,1,1.3,1,none,222183499.75247526,0,-222183499.75247526,0
1.3,1,1.3,1,its_estimate,222183499.75247526,1942559210.5263157,1720375710.7738404,8.743039931815073
1.3,1,1.3,1,generous,222183499.75247526,3885118421.0526314,3662934921.300156,17.486079863630145
1.3,1,1.3,1.3,none,222183499.75247526,0,-222183499.75247526,0
1.3,1,1.3,1.3,its_estimate,222183499.75247526,1942559210.5263157,1720375710.7738404,8.743039931815073
1.3,1,1.3,1.3,generous,222183499.75247526,3885118421.0526314,3662934921.300156,17.486079863630145
1.3,1.5,0.7,0.7,none,255450719.92574257,0,-255450719.92574257,0
1.3,1.5,0.7,0.7,its_estimate,255450719.92574257,1045993421.0526314,790542701.1268888,4.094697487471137
1.3,1.5,0.7,0.7,generous,255450719.92574257,2091986842.1052628,1836536122.1795201,8.189394974942275
1.3,1.5,0.7,1,none,255450719.92574257,0,-255450719.92574257,0
1.3,1.5,0.7,1,its_estimate,255450719.92574257,1045993421.0526314,790542701.1268888,4.094697487471137
1.3,1.5,0.7,1,generous,255450719.92574257,2091986842.1052628,1836536122.1795201,8.189394974942275
1.3,1.5,0.7,1.3,none,255450719.92574257,0,-255450719.92574257,0
1.3,1.5,0.7,1.3,its_estimate,255450719.92574257,1045993421.0526314,790542701.1268888,4.094697487471137
1.3,1.5,0.7,1.3,generous,255450719.92574257,2091986842.1052628,1836536122.1795201,8.189394974942275
1.3,1.5,1,0.7,none,255450719.92574257,0,-255450719.92574257,0
1.3,1.5,1,0.7,its_estimate,255450719.92574257,1494276315.7894735,1238825595.863731,5.849567839244483
1.3,1.5,1,0.7,generous,255450719.92574257,2988552631.578947,2733101911.6532044,11.699135678488966
1.3,1.5,1,1,none,255450719.92574257,0,-255450719.92574257,0
1.3,1.5,1,1,its_estimate,255450719.92574257,1494276315.7894735,1238825595.863731,5.849567839244483
1.3,1.5,1,1,generous,255450719.92574257,2988552631.578947,2733101911.6532044,11.699135678488966
1.3,1.5,1,1.3,none,255450719.92574257,0,-255450719.92574257,0
1.3,1.5,1,1.3,its_estimate,255450719.92574257,1494276315.7894735,1238825595.863731,5.849567839244483
1.3,1.5,1,1.3,generous,255450719.92574257,2988552631.578947,2733101911.6532044,11.699135678488966
1.3,1.5,1.3,0.7,none,255450719.92574257,0,-255450719.92574257,0
1.3,1.5,1.3,0.7,its_estimate,255450719.92574257,1942559210.5263157,1687108490.600573,7.604438191017828
1.3,1.5,1.3,0.7,generous,255450719.92574257,3885118421.0526314,3629667701.1268888,15.208876382035657
1.3,1.5,1.3,1,none,255450719.92574257,0,-255450719.92574257,0
1.3,1.5,1.3,1,its_estimate,255450719.92574257,1942559210.5263157,1687108490.600573,7.604438191017828
1.3,1.5,1.3,1,generous,255450719.92574257,3885118421.0526314,3629667701.1268888,15.208876382035657
1.3,1.5,1.3,1.3,none,255450719.92574257,0,-255450719.92574257,0
1.3,1.5,1.3,1.3,its_estimate,255450719.92574257,1942559210.5263157,1687108490.600573,7.604438191017828
1.3,1.5,1.3,1.3,generous,255450719.92574257,3885118421.0526314,3629667701.1268888,15.208876382035657
