vsl_mult,injury_mult,robbery_mult,shooting_mult,crime_reduction,crash_cost,benefit,net,ratio
1,1.5,1,0.7,generous,222255422.8960396,2988552631.578947,2766297208.6829076,13.446477897535253
1,1.5,1,1,none,222255422.8960396,0,-222255422.8960396,0
1,1.5,1,1,its_estimate,222255422.8960396,1494276315.7894735,1272020892.893434,6.7232389487676265
1,1.5,1,1,generous,222255422.8960396,2988552631.578947,2766297208.6829076,13.446477897535253
1,1.5,1,1.3,none,222255422.8960396,0,-222255422.8960396,0
1,1.5,1,1.3,its_estimate,222255422.8960396,1494276315.7894735,1272020892.893434,6.7232389487676265
1,1.5,1,1.3,generous,222255422.8960396,2988552631.578947,2766297208.6829076,13.446477897535253
1,1.5,1.3,0.7,none,222255422.8960396,0,-222255422.8960396,0
1,1.5,1.3,0.7,its_estimate,222255422.8960396,1942559210.5263157,1720303787.6302762,8.740210633397915
1,1.5,1.3,0.7,generous,222255422.8960396,3885118421.0526314,3662862998.156592,17.48042126679583
1,1.5,1.3,1,none,222255422.8960396,0,-222255422.8960396,0
1,1.5,1.3,1,its_estimate,222255422.8960396,1942559210.5263157,1720303787.6302762,8.740210633397915
1,1.5,1.3,1,generous,222255422.8960396,3885118421.0526314,3662862998.156592,17.48042126679583
1,1.5,1.3,1.3,none,222255422.8960396,0,-222255422.8960396,0
1,1.5,1.3,1.3,its_estimate,222255422.8960396,1942559210.5263157,1720303787.6302762,8.740210633397915
1,1.5,1.3,1.3,generous,222255422.8960396,3885118421.0526314,3662862998.156592,17.48042126679583
1.3,0.5,0.7,0.7,none,188916279.57920793,0,-188916279.57920793,0
1.3,0.5,0.7,0.7,its_estimate,188916279.57920793,1045993421.0526314,857077141.4734235,5.536809338943562
1.3,0.5,0.7,0.7,generous,188916279.57920793,2091986842.1052628,1903070562.5260549,11.073618677887124
1.3,0.5,0.7,1,none,188916279.57920793,0,-188916279.57920793,0
1.3,0.5,0.7,1,its_estimate,188916279.57920793,1045993421.0526314,857077141.4734235,5.536809338943562
1.3,0.5,0.7,1,generous,188916279.57920793,2091986842.1052628,1903070562.5260549,11.073618677887124
1.3,0.5,0.7,1.3,none,188916279.57920793,0,-188916279.57920793,0
1.3,0.5,0.7,1.3,its_estimate,188916279.57920793,1045993421.0526314,857077141.4734235,5.536809338943562
1.3,0.5,0.7,1.3,generous,188916279.57920793,2091986842.1052628,1903070562.5260549,11.073618677887124
1.3,0.5,1,0.7,none,188916279.57920793,0,-188916279.57920793,0
1.3,0.5,1,0.7,its_estimate,188916279.57920793,1494276315.7894735,1305360036.2102656,7.9097276270622325
1.3,0.5,1,0.7,generous,188916279.57920793,2988552631.578947,2799636351.999739,15.819455254124465
1.3,0.5,1,1,none,188916279.57920793,0,-188916279.57920793,0
1.3,0.5,1,1,its_estimate,188916279.57920793,1494276315.7894735,1305360036.2102656,7.9097276270622325
1.3,0.5,1,1,generous,188916279.57920793,2988552631.578947,2799636351.999739,15.819455254124465
1.3,0.5,1,1.3,none,188916279.57920793,0,-188916279.57920793,0
1.3,0.5,1,1.3,its_estimate,188916279.57920793,1494276315.7894735,1305360036.2102656,7.9097276270622325
1.3,0.5,1,1.3,generous,188916279.57920793,2988552631.578947,2799636351.999739,15.819455254124465
1.3,0.5,1.3,0.7,none,188916279.57920793,0,-188916279.57920793,0
