term,estimate,std.error,statistic,p.value,conf.low,conf.high,outcome,nw_se,nw_pvalue
P_mad,-2.4901889854491905,0.581413041668988,-4.282994716287966,5.331255419250208e-5,-3.648173415431506,-1.332204555466875,Pursuit Collisions,0.47268595012967624,1.2448597640884991e-6
D_tisch,-15.178347861499573,3.6195957524851288,-4.193382051318432,7.359765956216546e-5,-22.387397579710374,-7.969298143288773,Pursuit Collisions,4.593321222176088,0.0014535276794083267
P_tisch,0.36673623713597414,0.5124672983877844,0.7156285645732355,0.4764136646363283,-0.6539308444015752,1.3874033186735235,Pursuit Collisions,0.3135681838216885,0.24583373380209153
covid,-0.37683441216085967,1.4027748981709731,-0.26863498388244633,0.7889384590513011,-3.1707027543450703,2.4170339300233508,Pursuit Collisions,0.619535973805723,0.5448334614793582
T,7.907459945606826,0.8480316307472048,9.324487034333288,3.198971920026648e-14,6.218458574535321,9.596461316678331,Robberies,1.2209011247174981,8.349710661719334e-9
D_esc,-80.3495471233103,70.92107568787173,-1.1329431532727152,0.26079966704988095,-221.60111101738056,60.90201677075994,Robberies,43.52877979316313,0.06880170833552791
P_esc,-7.966245169846394,12.107417174474936,-0.6579640442753528,0.5125493350711002,-32.08025632978951,16.14776599009673,Robberies,6.324461678612258,0.21167088697413997
D_mad,123.49104418750477,88.81225798092714,1.3904729706796224,0.1684438065305575,-53.393897433803545,300.3759858088131,Robberies,63.853210382620354,0.05683824591623046
P_mad,-14.4034431070419,12.956551746175164,-1.1116725645227223,0.26978331162409624,-40.20865233534272,11.401766121258918,Robberies,6.147677629390333,0.02175229956595135
D_tisch,81.26566354398396,80.66121037238312,1.0074937280113985,0.3168945382157358,-79.38505981547759,241.91638690344553,Robberies,59.088296630261034,0.17307094124923328
P_tisch,1.1245003803889755,11.420124066573852,0.09846656427142797,0.9218210649881,-21.620647921750002,23.869648682527956,Robberies,13.765532856132092,0.93510833187772
covid,-236.2652058163025,31.26026465490833,-7.558004016424901,7.690377633406252e-11,-298.52541869972663,-174.0049929328784,Robberies,38.424654507824826,3.351488413221755e-8
T,1.2983876281137197,0.18879081081748653,6.8773878479124475,1.4933020629044502e-9,0.9223781412559242,1.674397114971515,Shooting Incidents,0.20291721381084715,1.1647153778779346e-8
D_esc,-30.297556036081918,15.788617897854007,-1.9189492222875297,0.05874551905462158,-61.74331384738326,1.1482017752194231,Shooting Incidents,10.343228684336005,0.0044836813442831166
P_esc,-2.821283387343429,2.6953818966170906,-1.046710075067416,0.2985508846195823,-8.189601683367774,2.547034908680916,Shooting Incidents,1.2608616369734975,0.028178077250177125
D_mad,-4.476568853328429,19.771595288229513,-0.22641414554916736,0.8214871769598343,-43.85511363787465,34.90197593121779,Shooting Incidents,7.081156905199292,0.5291662411843336
P_mad,1.360757156057633,2.8844182467626576,0.47176138813602575,0.6384487443808834,-4.384059660778836,7.105573972894102,Shooting Incidents,1.5011327591670185,0.36754330326583096
D_tisch,-3.410401975592264,17.956989757922727,-0.18992058365949532,0.8498777117919981,-39.17484662811673,32.3540426769322,Shooting Incidents,7.770826696811271,0.6619991096563127
P_tisch,-2.3942956127905712,2.5423750765818656,-0.9417554612003269,0.3493017974649669,-7.457874416261928,2.6692831906807863,Shooting Incidents,1.2481963411993724,0.05884141252622342
covid,40.542687547617966,6.9592341801795605,5.825739800952048,1.2904572616070016e-7,26.682171446851395,54.40320364838453,Shooting Incidents,11.30073264739583,5.880485303922277e-4
T,5.076000901906856,0.5304745818889889,9.568791936894534,1.094196063308068e-14,4.0194692070458515,6.132532596767861,Gun Violence (Shootings + Shots Fired),0.6917751036702091,2.01824128425683e-10
D_esc,-105.30149280798685,44.36370839079708,-2.373595369449116,0.02014270982991923,-193.65947567220056,-16.943509943773137,Gun Violence (Shootings + Shots Fired),34.56641828941433,0.0031837131261626198
P_esc,-12.800577964398181,7.573629131882856,-1.6901511470255832,0.09509710449146193,-27.884767661976163,2.2836117331798,Gun Violence (Shootings + Shots Fired),4.906797992065009,0.01093743585990487
D_mad,2.0234088325469766,55.55529264579219,0.03642153134621695,0.9710417420215262,-108.62454585087099,112.67136351596494,Gun Violence (Shootings + Shots Fired),25.44974353243772,0.9368390900567904
