month_date,shooting_incidents,boro,pop_2020,state,year,month,shooting_rate,treated
2021-03-01T00:00:00Z,39,Baltimore,585708,MD,2021,3,79.9032965231822,0
2021-04-01T00:00:00Z,44,Baltimore,585708,MD,2021,4,90.14730889794915,0
2021-05-01T00:00:00Z,60,Baltimore,585708,MD,2021,5,122.9281484972034,0
2021-06-01T00:00:00Z,57,Baltimore,585708,MD,2021,6,116.78174107234322,0
2021-07-01T00:00:00Z,42,Baltimore,585708,MD,2021,7,86.04970394804238,0
2021-08-01T00:00:00Z,60,Baltimore,585708,MD,2021,8,122.9281484972034,0
2021-09-01T00:00:00Z,59,Baltimore,585708,MD,2021,9,120.87934602224999,0
2021-10-01T00:00:00Z,54,Baltimore,585708,MD,2021,10,110.63533364748305,0
2021-11-01T00:00:00Z,45,Baltimore,585708,MD,2021,11,92.19611137290255,0
2021-12-01T00:00:00Z,61,Baltimore,585708,MD,2021,12,124.97695097215677,0
2022-01-01T00:00:00Z,48,Baltimore,585708,MD,2022,1,98.34251879776271,0
2022-02-01T00:00:00Z,44,Baltimore,585708,MD,2022,2,90.14730889794915,0
2022-03-01T00:00:00Z,52,Baltimore,585708,MD,2022,3,106.53772869757626,0
2022-04-01T00:00:00Z,42,Baltimore,585708,MD,2022,4,86.04970394804238,0
2022-05-01T00:00:00Z,42,Baltimore,585708,MD,2022,5,86.04970394804238,0
2022-06-01T00:00:00Z,53,Baltimore,585708,MD,2022,6,108.58653117252965,0
2022-07-01T00:00:00Z,59,Baltimore,585708,MD,2022,7,120.87934602224999,0
2022-08-01T00:00:00Z,55,Baltimore,585708,MD,2022,8,112.68413612243643,0
2022-09-01T00:00:00Z,43,Baltimore,585708,MD,2022,9,88.09850642299577,0
2022-10-01T00:00:00Z,45,Baltimore,585708,MD,2022,10,92.19611137290255,0
2022-11-01T00:00:00Z,40,Baltimore,585708,MD,2022,11,81.9520989981356,0
2022-12-01T00:00:00Z,34,Baltimore,585708,MD,2022,12,69.65928414841525,0
2023-01-01T00:00:00Z,34,Baltimore,585708,MD,2023,1,69.65928414841525,0
2023-02-01T00:00:00Z,30,Baltimore,585708,MD,2023,2,61.4640742486017,0
2023-03-01T00:00:00Z,35,Baltimore,585708,MD,2023,3,71.70808662336864,0
2023-04-01T00:00:00Z,49,Baltimore,585708,MD,2023,4,100.39132127271611,0
2023-05-01T00:00:00Z,50,Baltimore,585708,MD,2023,5,102.44012374766947,0
2023-06-01T00:00:00Z,50,Baltimore,585708,MD,2023,6,102.44012374766947,0
2023-07-01T00:00:00Z,52,Baltimore,585708,MD,2023,7,106.53772869757626,0
2023-08-01T00:00:00Z,44,Baltimore,585708,MD,2023,8,90.14730889794915,0
2023-09-01T00:00:00Z,48,Baltimore,585708,MD,2023,9,98.34251879776271,0
2023-10-01T00:00:00Z,38,Baltimore,585708,MD,2023,10,77.8544940482288,0
2023-11-01T00:00:00Z,40,Baltimore,585708,MD,2023,11,81.9520989981356,0
2023-12-01T00:00:00Z,40,Baltimore,585708,MD,2023,12,81.9520989981356,0
2024-01-01T00:00:00Z,25,Baltimore,585708,MD,2024,1,51.22006187383474,0
2024-02-01T00:00:00Z,32,Baltimore,585708,MD,2024,2,65.56167919850847,0
2024-03-01T00:00:00Z,26,Baltimore,585708,MD,2024,3,53.26886434878813,0
2024-04-01T00:00:00Z,41,Baltimore,585708,MD,2024,4,84.00090147308897,0
2024-05-01T00:00:00Z,22,Baltimore,585708,MD,2024,5,45.07365444897457,0
2024-06-01T00:00:00Z,34,Baltimore,585708,MD,2024,6,69.65928414841525,0
2024-07-01T00:00:00Z,23,Baltimore,585708,MD,2024,7,47.12245692392797,0
2024-08-01T00:00:00Z,27,Baltimore,585708,MD,2024,8,55.317666823741526,0
2024-09-01T00:00:00Z,32,Baltimore,585708,MD,2024,9,65.56167919850847,0
2024-10-01T00:00:00Z,32,Baltimore,585708,MD,2024,10,65.56167919850847,0
2024-11-01T00:00:00Z,36,Baltimore,585708,MD,2024,11,73.75688909832203,0
2024-12-01T00:00:00Z,26,Baltimore,585708,MD,2024,12,53.26886434878813,0
2015-01-01T00:00:00Z,21,Boston,675647,MA,2015,1,37.29758290941868,0
2015-02-01T00:00:00Z,4,Boston,675647,MA,2015,2,7.104301506555938,0
2015-03-01T00:00:00Z,19,Boston,675647,MA,2015,3,33.74543215614071,0
2015-04-01T00:00:00Z,10,Boston,675647,MA,2015,4,17.760753766389847,0
2015-05-01T00:00:00Z,25,Boston,675647,MA,2015,5,44.40188441597461,0
2015-06-01T00:00:00Z,17,Boston,675647,MA,2015,6,30.193281402862738,0
2015-07-01T00:00:00Z,31,Boston,675647,MA,2015,7,55.05833667580852,0
2015-08-01T00:00:00Z,24,Boston,675647,MA,2015,8,42.625809039335635,0
2015-09-01T00:00:00Z,14,Boston,675647,MA,2015,9,24.865055272945785,0
2015-10-01T00:00:00Z,9,Boston,675647,MA,2015,10,15.984678389750862,0
2015-11-01T00:00:00Z,13,Boston,675647,MA,2015,11,23.0889798963068,0
2015-12-01T00:00:00Z,25,Boston,675647,MA,2015,12,44.40188441597461,0
2016-01-01T00:00:00Z,12,Boston,675647,MA,2016,1,21.312904519667818,0
2016-02-01T00:00:00Z,6,Boston,675647,MA,2016,2,10.656452259833909,0
2016-03-01T00:00:00Z,9,Boston,675647,MA,2016,3,15.984678389750862,0
2016-04-01T00:00:00Z,11,Boston,675647,MA,2016,4,19.53682914302883,0
2016-05-01T00:00:00Z,18,Boston,675647,MA,2016,5,31.969356779501723,0
2016-06-01T00:00:00Z,21,Boston,675647,MA,2016,6,37.29758290941868,0
2016-07-01T00:00:00Z,21,Boston,675647,MA,2016,7,37.29758290941868,0
2016-08-01T00:00:00Z,17,Boston,675647,MA,2016,8,30.193281402862738,0
2016-09-01T00:00:00Z,19,Boston,675647,MA,2016,9,33.74543215614071,0
2016-10-01T00:00:00Z,20,Boston,675647,MA,2016,10,35.521507532779694,0
