dropped_id,dropped_city,estimate,std.error,p.value,conf.low,conf.high
3775000,"Winston-Salem, NC",0.08369399213784327,1.7715674932228846,0.9624177756326213,-3.4328396887127495,3.600227672988436
2758000,"St. Paul, MN",0.08726217600022403,1.7716081736748972,0.9608176877958674,-3.429352254909399,3.6038766069098473
4835000,"Houston, TX",0.08774600105413205,1.7716131235586074,0.9606007304306553,-3.428878255297,3.604370257405264
5182000,"Virginia Beach, VA",0.0977260174041457,1.7716850711590502,0.9561256896287004,-3.419041053805117,3.6144930886134086
3719000,"Durham, NC",0.09902421877924333,1.7716902024230452,0.9555435968414709,-3.4177530379085477,3.615801475467034
4845000,"Lubbock, TX",0.10045534051380577,1.7716947312583726,0.9549019078340478,-3.4163309058410594,3.617241586868671
4159000,"Portland, OR",0.10354520891614728,1.7717004758364285,0.9535164742189521,-3.413252440336035,3.62034285816833
4055000,"Oklahoma City, OK",0.10356711378589589,1.77170049688026,0.9535066525450796,-3.4132305772379623,3.620364804809754
662000,"Riverside, CA",0.10479279066821369,1.7717012328673618,0.9529570854484609,-3.4120063612784945,3.621591942614922
3918000,"Columbus, OH",0.10944841706806292,1.7716961226090722,0.9508695974247066,-3.407340591096113,3.6262374252322385
4752006,"Nashville-Davidson, TN",0.11042941368181987,1.7716934492581964,0.9504297355681401,-3.406354287922808,3.6272131152864477
668000,"San Jose, CA",0.11083128920019698,1.7716921936290841,0.9502495410986497,-3.4059499200003422,3.627612498400736
669000,"Santa Ana, CA",0.1109961771167678,1.771691651466307,0.9501756079444239,-3.4057839558991643,3.6277763101327003
1245000,"Miami, FL",0.11299277984340587,1.7716838404089137,0.9492803581639927,-3.4037718483461443,3.6297574080329564
667000,"San Francisco, CA",0.11478254768374674,1.771674881806578,0.9484778420666252,-3.401964297820714,3.6315293931882073
666000,"San Diego, CA",0.11629454904366607,1.771665872054141,0.9477998666047267,-3.4004344122435564,3.6330235103308883
820000,"Denver, CO",0.11680326897630534,1.7716625438522489,0.9475717568728035,-3.399919085882376,3.6335256238349865
2079000,"Wichita, KS",0.11743434258131558,1.771658207477809,0.9472887825296271,-3.3992794046421335,3.6341480898047647
3128000,"Lincoln, NE",0.11839788473680922,1.7716511429061144,0.946856725873535,-3.3983018394226585,3.6350976088962765
5548000,"Madison, WI",0.11854190080930843,1.7716500409397178,0.9467921480992176,-3.39815563596415,3.635239437582767
3663000,"Rochester, NY",0.1196619016148858,1.7716410622442778,0.9462899292497805,-3.3970178125889863,3.6363416158187576
4805000,"Austin, TX",0.12221021260678991,1.7716179338664564,0.945147221422084,-3.394423592129956,3.6388440173435357
4804000,"Arlington, TX",0.12330447082580528,1.771606851402248,0.9446565266217981,-3.393307335393354,3.6399162770449642
3240000,"Las Vegas, NV",0.12469333449924767,1.771591789304685,0.9440337133048661,-3.3918885736925506,3.6412752426910457
816000,"Colorado Springs, CO",0.12497561064296304,1.7715885918199903,0.94390712979633,-3.3915999505918797,3.6415511718778055
4827000,"Fort Worth, TX",0.12593558305462882,1.7715773733388251,0.9434766375436793,-3.390617709671102,3.6424888757803595
3231900,"Henderson, NV",0.12775363969044096,1.7715546684756474,0.9426613280002991,-3.3887545842380864,3.644261863618968
1263000,"St. Petersburg, FL",0.12863935772097543,1.7715429155365112,0.9422641187326084,-3.387845536807753,3.6451242522497034
602000,"Anaheim, CA",0.1287319488356981,1.7715416607477212,0.9422225949888698,-3.3877504549569672,3.6452143526283636
1230000,"Hialeah, FL",0.13097187317980827,1.7715097964754487,0.9412180514445101,-3.3854472805322984,3.6473910268919147
4817000,"Corpus Christi, TX",0.13324024355441075,1.7714745738622462,0.9402007111045811,-3.383108993823078,3.6495894809318994
203000,"Anchorage, AK",0.13349013914906405,1.771470511787189,0.9400886329698583,-3.382851035073164,3.649831313371292
613392,"Chula Vista, CA",0.13570719060604466,1.7714328935930388,0.9390942620600483,-3.380559312090967,3.6519736933030567
4829000,"Garland, TX",0.13611794142136993,1.771425612323252,0.9389100311717826,-3.380134108069347,3.652369990912087
626000,"Fremont, CA",0.13803269211974392,1.771390383773859,0.9380512019501751,-3.37814942925311,3.6542148134925982
3251800,"North Las Vegas, NV",0.14053870306919802,1.771341076495687,0.9369271183001014,-3.3755455441300413,3.656622950268437
446000,"Mesa, AZ",0.14217301761740841,1.7713069654603153,0.9361940030583611,-3.373843519711768,3.6581895549465853
4858016,"Plano, TX",0.14393014197685428,1.7712685694047419,0.9354057653745644,-3.3720101797843847,3.6598704637380934
4837000,"Irving, TX",0.14396829431836142,1.7712677159228305,0.9353886500255962,-3.3719703332946733,3.659906921931396
