month_date,boro,robbery_count,shooting_incidents,pursuit_crashes,shots_fired_incidents,pop_2020,year,month,total_gun_events,robbery_rate,shooting_rate,crash_rate,gunviol_rate
2021-06-01,Bronx,328,54,3,126,1472654,2021,6,180,267.27255689388005,44.00218924472415,2.4445660691513416,146.67396414908052
2021-06-01,Staten Island,19,6,0,6,495747,2021,6,12,45.99120115704179,14.523537207486882,0,29.047074414973764
2021-07-01,Manhattan,314,28,2,67,1694251,2021,7,95,222.39916045497392,19.831772269870285,1.4165551621335917,67.28637020134562
2021-07-01,Brooklyn,332,48,2,87,2736074,2021,7,135,145.61009680293733,21.052062188376485,0.8771692578490201,59.20892490480886
2021-07-01,Queens,207,29,1,63,2405464,2021,7,92,103.26490024377833,14.467063319176674,0.49886425238540255,45.895511219457035
2021-07-01,Bronx,404,50,2,104,1472654,2021,7,154,329.20156397904736,40.74276781918903,1.6297107127675612,125.4877248831022
2021-07-01,Staten Island,16,2,0,4,495747,2021,7,6,38.72943255329836,4.841179069162295,0,14.523537207486882
2021-08-01,Manhattan,326,22,0,59,1694251,2021,8,81,230.89849142777547,15.58210678346951,0,57.37048406641047
2021-08-01,Brooklyn,273,57,0,125,2736074,2021,8,182,119.73360369639124,24.999323848697074,0,79.82240246426083
2021-08-01,Queens,200,33,1,51,2405464,2021,8,84,99.77285047708051,16.462520328718284,0.49886425238540255,41.90459720037382
2021-08-01,Bronx,348,52,2,91,1472654,2021,8,143,283.56966402155564,42.37247853195659,1.6297107127675612,116.52431596288062
2021-08-01,Staten Island,21,1,1,9,495747,2021,8,10,50.832380226204094,2.4205895345811475,2.4205895345811475,24.20589534581147
2021-09-01,Manhattan,368,22,0,53,1694251,2021,9,75,260.64614983258093,15.58210678346951,0,53.1208185800097
2021-09-01,Brooklyn,326,51,2,119,2736074,2021,9,170,142.9785890293903,22.367816075150014,0.8771692578490201,74.55938691716672
2021-09-01,Queens,222,16,0,54,2405464,2021,9,70,110.74786402955937,7.981828038166441,0,34.92049766697818
2021-09-01,Bronx,362,44,3,97,1472654,2021,9,141,294.9776390109286,35.85363568088635,2.4445660691513416,114.89460525011307
2021-09-01,Staten Island,19,3,0,6,495747,2021,9,9,45.99120115704179,7.261768603743441,0,21.785305811230327
2021-10-01,Manhattan,427,18,0,41,1694251,2021,10,59,302.43452711552186,12.748996459202328,0,41.78837728294096
2021-10-01,Brooklyn,375,45,0,116,2736074,2021,10,161,164.46923584669128,19.736308301602953,0,70.61212525684613
2021-10-01,Queens,246,17,0,40,2405464,2021,10,57,122.72060608680903,8.480692290551843,0,28.435262385967945
2021-10-01,Bronx,415,44,2,108,1472654,2021,10,152,338.16497289926895,35.85363568088635,1.6297107127675612,123.85801417033466
2021-10-01,Staten Island,19,4,0,10,495747,2021,10,14,45.99120115704179,9.68235813832459,0,33.888253484136065
2021-11-01,Manhattan,358,21,0,53,1694251,2021,11,74,253.56337402191292,14.873829202402714,0,52.41254099894289
2021-11-01,Brooklyn,352,33,1,93,2736074,2021,11,126,154.38178938142755,14.473292754508833,0.43858462892451006,55.261663244488275
2021-11-01,Queens,252,18,2,47,2405464,2021,11,65,125.71379160112147,8.979556542937246,0.9977285047708051,32.426176405051166
2021-11-01,Bronx,434,42,0,100,1472654,2021,11,142,353.6472246705608,34.22392496811878,0,115.70946060649685
2021-11-01,Staten Island,22,5,0,4,495747,2021,11,9,53.252969760785234,12.102947672905735,0,21.785305811230327
2021-12-01,Manhattan,299,22,2,49,1694251,2021,12,71,211.77499673897194,15.58210678346951,1.4165551621335917,50.2877082557425
2021-12-01,Brooklyn,371,41,3,81,2736074,2021,12,122,162.71489733099327,17.981969785904912,1.3157538867735303,53.50732472879023
2021-12-01,Queens,271,21,0,47,2405464,2021,12,68,135.1922123964441,10.476149300093455,0,33.92276916220737
2021-12-01,Bronx,429,35,0,67,1472654,2021,12,102,349.5729478886419,28.51993747343232,0,83.11524635114561
2021-12-01,Staten Island,17,1,0,4,495747,2021,12,5,41.150022087879506,2.4205895345811475,0,12.102947672905735
2022-01-01,Manhattan,293,21,0,32,1694251,2022,1,53,207.52533125257122,14.873829202402714,0,37.538711796540184
2022-01-01,Brooklyn,362,30,1,81,2736074,2022,1,111,158.76763567067263,13.157538867735301,0.43858462892451006,48.68289381062063
2022-01-01,Queens,232,8,0,35,2405464,2022,1,43,115.73650655341339,3.9909140190832204,0,21.451162852572313
