boro,year,robbery,robbery_rate,violent_total,violent_rate,pop_2020,treated
Brooklyn,2013,6854,250.50492055404936,18258,667.306512908642,2736074,1
Manhattan,2013,3340,197.1372600635915,8708,513.9734313274715,1694251,1
Queens,2013,3994,166.03865200227483,10740,446.48350588493525,2405464,1
Staten Island,2013,526,106.10250793247361,1658,334.4447873612952,495747,1
Bronx,2012,4731,321.2567242543055,12801,869.2469514223978,1472654,1
Brooklyn,2012,7295,266.6229056670251,18673,682.4742313256147,2736074,1
Manhattan,2012,3581,211.36183481668303,9102,537.2285452391646,1694251,1
Queens,2012,4149,172.48231526225294,10753,447.02394215835284,2405464,1
Staten Island,2012,445,89.76352857405088,1664,335.6550821285858,495747,1
Bronx,2011,4580,311.00312768647626,12267,832.9858880633197,1472654,1
Brooklyn,2011,7090,259.1304182562314,18182,664.5288102587868,2736074,1
Manhattan,2011,3648,215.31638464430594,9021,532.4476715669638,1694251,1
Queens,2011,4057,168.6576893272982,10311,428.64910886215716,2405464,1
Staten Island,2011,398,80.28288623027471,1428,288.0501546151565,495747,1
Bronx,2010,4647,315.55273675961905,12070,819.6086792960192,1472654,1
Brooklyn,2010,6684,244.29163831095212,16514,603.5655468382799,2736074,1
Manhattan,2010,3787,223.52059995832968,8829,521.1152302698952,1694251,1
Queens,2010,4066,169.03183751658725,9725,404.28790453733666,2405464,1
Staten Island,2010,424,85.52749688853386,1351,272.51803843492746,495747,1
Bronx,2009,4132,280.5818610481485,11242,763.3836597055384,1472654,1
Brooklyn,2009,6292,229.96454043275145,15803,577.5794075745027,2736074,1
Manhattan,2009,3781,223.16646116779626,8710,514.0914775909827,1694251,1
Queens,2009,3997,166.16336806537117,9299,386.57822357765485,2405464,1
Staten Island,2009,395,79.67773884662944,1303,262.8356802966029,495747,1
Bronx,2008,4793,325.4668102622884,11345,770.3778348478326,1472654,1
Brooklyn,2008,7867,287.5287729790934,16895,617.4906088066331,2736074,1
Manhattan,2008,4460,263.2431676298258,9176,541.5962569890766,1694251,1
Queens,2008,4591,190.85714855844859,9689,402.7913117801805,2405464,1
Staten Island,2008,475,95.81500241050375,1325,267.2734277766683,495747,1
Bronx,2007,4613,313.24397991653166,11689,793.7370217308343,1472654,1
Brooklyn,2007,7629,278.83017783875727,17526,640.552850544247,2736074,1
Manhattan,2007,4676,275.9921640890281,10055,593.4775898022194,1694251,1
Queens,2007,4417,183.62361689886026,9846,409.31811908222284,2405464,1
Staten Island,2007,452,91.17553913588988,1337,269.69401731124947,495747,1
Bronx,2006,4882,331.51032082213476,11922,809.5587965672861,1472654,1
Brooklyn,2006,8182,299.0416194883618,17992,657.5845536341488,2736074,1
Manhattan,2006,5083,300.01457871354364,10662,629.3046307778482,1694251,1
Queens,2006,4918,204.4511994359508,10102,419.96055646644476,2405464,1
Staten Island,2006,446,89.9652443685993,1408,284.0158387241879,495747,1
Bronx,2005,5057,343.39362810273155,12325,836.9243556191745,1472654,1
Brooklyn,2005,8715,318.52208675642544,19369,707.9121398032363,2736074,1
Manhattan,2005,5531,326.45694174003734,11180,659.8786130272315,1694251,1
Queens,2005,4957,206.07250825620338,10250,426.11321557919797,2405464,1
Staten Island,2005,462,93.19269708137416,1499,302.371976028095,495747,1
Bronx,2004,5076,344.6838157503392,12797,868.9753329702701,1472654,1
Brooklyn,2004,8783,321.0073996536643,19735,721.2889709854338,2736074,1
Manhattan,2004,5288,312.11432072343473,11414,673.690025858034,1694251,1
Queens,2004,4819,200.33556935377126,10323,429.14797311454254,2405464,1
Staten Island,2004,407,82.09832838121058,1419,286.23471246422065,495747,1
Bronx,2003,5170,351.06684937534544,13381,908.6316269809474,1472654,1
Brooklyn,2003,9641,352.36620062176684,21485,785.2492293702583,2736074,1
Manhattan,2003,5617,331.53293107101604,12179,718.8427216510422,1694251,1
Queens,2003,5179,215.30149692533334,11106,461.69886558269,2405464,1
Staten Island,2003,382,77.05543351749985,1297,261.6253855293123,495747,1
Bronx,2002,5215,354.1225569617846,14112,958.2698991073258,1472654,1
Brooklyn,2002,9980,364.75621638888424,22466,821.1035227848369,2736074,1
Manhattan,2002,5965,352.0729809219531,13211,779.7545936227867,1694251,1
Queens,2002,5694,236.7110877568735,12625,524.8467655304756,2405464,1
Staten Island,2002,375,75.64342295566085,1426,287.6467230260597,495747,1
Bronx,2001,5288,359.07959371311927,14793,1004.5129405821056,1472654,1
Brooklyn,2001,10521,384.5290734095642,25226,921.9779874374743,2736074,1
Manhattan,2001,6130,361.81179766162154,14248,840.961581253309,1694251,1
Queens,2001,5891,244.90077590020053,12991,540.0621252282303,2405464,1
Staten Island,2001,376,75.84513875020929,1479,298.33766013712636,495747,1
Bronx,2000,6123,415.779945594824,16482,1119.2038319931228,1472654,1
Brooklyn,2000,12154,444.2131316623747,27611,1009.1466824362208,2736074,1
Manhattan,2000,7129,420.77590628543237,15583,919.75746214699,1694251,1
Queens,2000,6722,279.4471253778897,14349,596.5169297898451,2405464,1
Staten Island,2000,473,95.41157082140688,1714,345.74087185600723,495747,1
Bronx,1999,6836,464.195934686627,16820,1142.1555911979324,1472654,1
Brooklyn,1999,13108,479.0806096618732,28725,1049.861955488046,2736074,1
Manhattan,1999,7822,461.6789365920398,16179,954.9352486733076,1694251,1
Queens,1999,7863,326.88080137553504,15700,652.680730204235,2405464,1
Staten Island,1999,479,96.62186558869746,1547,312.05433416641955,495747,1
Bronx,1998,7661,520.2172404380119,18391,1248.8337382711757,1472654,1
Brooklyn,1998,14141,516.8354364684582,31123,1137.5057838347939,2736074,1
Manhattan,1998,8849,522.2956929050064,18054,1065.6036207149943,1694251,1
Queens,1998,8178,339.97598800065185,16492,685.6057708616717,2405464,1
Staten Island,1998,549,110.74197120708749,1855,374.1827988873357,495747,1
Bronx,1997,9056,614.9441756176265,19592,1330.3871785225858,1472654,1
Brooklyn,1997,15613,570.6351509498646,32697,1195.0334676620587,2736074,1
Manhattan,1997,10057,593.5956360657306,20174,1190.732660036795,1694251,1
Queens,1997,9033,375.5200659831118,17832,741.3122790447082,2405464,1
Staten Island,1997,959,193.44544697194334,2571,518.6113077840108,495747,1
Bronx,1996,10023,680.6079364195527,20615,1399.853597654303,1472654,1
Brooklyn,1996,17061,623.5576961734222,34798,1271.8223264429253,2736074,1
Manhattan,1996,11304,667.1974813649217,22006,1298.8630374129925,1694251,1
Queens,1996,10378,431.434434271309,18786,780.9719871093478,2405464,1
Staten Island,1996,927,186.99054154639364,2523,508.9289496456862,495747,1
Bronx,1995,11585,786.6749419755082,24660,1674.5277573686692,1472654,1
Brooklyn,1995,20780,759.4823824209433,39887,1457.8187578259945,2736074,1
Manhattan,1995,13387,790.1426648117663,25095,1481.185491405937,1694251,1
Queens,1995,12413,516.0334970716668,21789,905.8127662687947,2405464,1
Staten Island,1995,1088,219.4667844686907,2749,554.5167192136312,495747,1
Bronx,1994,13998,950.52877322168,27863,1892.0262329101065,1472654,1
Brooklyn,1994,25504,932.1385313408922,48212,1762.0868441423731,2736074,1
Manhattan,1994,17422,1028.3010014454765,31895,1882.542787343788,1694251,1
